AtomicNumber,Symbol,Element,Type,Natural,Phase,Radioactive,Group,Period,Block,ElectronConfig,NobleGasConfig,NumberofValence,NumberofShells,Appearance,xpos,ypos,Density,HeatCapacity,HeatOfFusion,HeatOfVaporization,AtomicRadius,CovalentRadius,VanDerWaalsRadius,Electronegativity,OxidationStates,IonizationEnergy,ThermalConductivity,ElectronAffinity,Discovery,DiscoveredBy,AtomicMass,NumberofNeutrons,NumberofProtons,NumberofElectrons
1,H,Hydrogen,Nonmetal,Yes,Gas,No,1,1,s,1s1,1s1,1,1,Colorless Gas,1,1,8.988e-5,14.304,0.117,0.904,53,38,120,2.2,1,1312,0.1805,72.769,1766,H. Cavendish,1.008,0,1,1
2,He,Helium,Noble gas,Yes,Gas,No,18,1,s,1s2,1s2,NA,1,"Colorless Gas, Exhibiting A Red-Orange Glow When Placed In A High-Voltage Electric Field",18,1,1.785e-4,5.193,0.0138,0.0829,31,32,140,NA,0,2372.3,0.1513,-50,1868,"P. Janssen, N. Lockyer",4.0026,2,2,2
3,Li,Lithium,Alkali metal,Yes,Solid,No,1,2,s,1s2 2s1,[He] 2s1,1,2,Silvery-White,1,2,0.534,3.582,3,136,167,134,182,0.98,1,520.2,84.8,59.632,1817,A. Arfwedson,7,4,3,3
4,Be,Beryllium,Alkaline earth metal,Yes,Solid,No,2,2,s,1s2 2s2,[He] 2s2,2,2,White-Gray Metallic,2,2,1.85,1.825,7.895,292,112,90,153,1.57,2,899.5,200,-50,1798,N. Vauquelin,9.012183,5,4,4
5,B,Boron,Metalloid,Yes,Solid,No,13,2,p,1s2 2s2 2p1,[He] 2s2 2p1,3,2,Black-Brown,13,2,2.34,1.026,50.2,508,87,82,192,2.04,3,800.6,27.4,26.989,1808,"L. Gay-Lussac, L.J. Thénard",10.81,6,5,5
6,C,Carbon,Nonmetal,Yes,Solid,No,14,2,p,1s2 2s2 2p2,[He] 2s2 2p2,4,2,NA,14,2,2.267,0.709,117,NA,67,77,170,2.55,"-4,-3,-2,-1,0,1,2,3,4",1086.5,140,121.776,NA,NA,12.011,6,6,6
7,N,Nitrogen,Nonmetal,Yes,Gas,No,15,2,p,1s2 2s2 2p3,[He] 2s2 2p3,5,2,"Colorless Gas, Liquid Or Solid",15,2,0.0012506,1.04,0.72,5.57,56,75,155,3.04,"-3,2,3,4,5",1402.3,0.02583,-0.07,1772,D. Rutherford,14.007,7,7,7
8,O,Oxygen,Nonmetal,Yes,Gas,No,16,2,p,1s2 2s2 2p4,[He] 2s2 2p4,6,2,NA,16,2,0.001429,0.918,0.444,6.82,48,73,152,3.44,-2,1313.9,0.02658,140.976,1771,W. Scheele,15.999,8,8,8
9,F,Fluorine,Halogen,Yes,Gas,No,17,2,p,1s2 2s2 2p5,[He] 2s2 2p5,7,2,NA,17,2,0.001696,0.824,0.51,6.62,42,71,147,3.98,-1,1681,0.0277,328.164,1810,A.-M. Ampère,18.99840316,10,9,9
10,Ne,Neon,Noble gas,Yes,Gas,No,18,2,p,1s2 2s2 2p6,[He] 2s2 2p6,8,2,Colorless Gas Exhibiting An Orange-Red Glow When Placed In A High Voltage Electric Field,18,2,8.999e-4,1.03,0.335,1.71,38,69,154,NA,0,2080.7,0.0491,-120,1898,"W. Ramsay, W. Travers",20.18,10,10,10
11,Na,Sodium,Alkali metal,Yes,Solid,No,1,3,s,1s2 2s2 2p6 3s1,[Ne] 3s1,1,3,Silvery White Metallic,1,3,0.971,1.228,2.6,97.42,190,154,227,0.93,1,495.8,142,52.867,1807,H. Davy,22.9897693,12,11,11
12,Mg,Magnesium,Alkaline earth metal,Yes,Solid,No,2,3,s,1s2 2s2 2p6 3s2,[Ne] 3s2,2,3,Shiny Grey Solid,2,3,1.738,1.023,8.48,128,145,130,173,1.31,2,737.7,156,-40,1755,J. Black,24.305,12,12,12
13,Al,Aluminium,Post-transition metal,Yes,Solid,No,13,3,p,1s2 2s2 2p6 3s2 3p1,[Ne] 3s2 3p1,3,3,Silvery Gray Metallic,13,3,2.698,0.897,10.71,284,118,118,184,1.61,3,577.5,237,41.762,1825,H. C. Ørsted,26.981538,14,13,13
14,Si,Silicon,Metalloid,Yes,Solid,No,14,3,p,1s2 2s2 2p6 3s2 3p2,[Ne] 3s2 3p2,4,3,"Crystalline, Reflective With Bluish-Tinged Faces",14,3,2.3296,0.705,50.21,359,111,111,210,1.9,"-4,4",786.5,149,134.068,1823,J. Berzelius,28.085,14,14,14
15,P,Phosphorus,Nonmetal,Yes,Solid,No,15,3,p,1s2 2s2 2p6 3s2 3p3,[Ne] 3s2 3p3,5,3,"Colourless, Waxy White, Yellow, Scarlet, Red, Violet, Black",15,3,1.82,0.769,0.66,12.4,98,106,180,2.19,"-3,3,5",1011.8,0.236,72.037,1669,H. Brand,30.973762,16,15,15
16,S,Sulfur,Nonmetal,Yes,Solid,No,16,3,p,1s2 2s2 2p6 3s2 3p4,[Ne] 3s2 3p4,6,3,Lemon Yellow Sintered Microcrystals,16,3,2.067,0.71,1.727,45,88,102,180,2.58,"-2,2,4,6",999.6,0.205,200.41,NA,NA,32.07,16,16,16
17,Cl,Chlorine,Halogen,Yes,Gas,No,17,3,p,1s2 2s2 2p6 3s2 3p5,[Ne] 3s2 3p5,7,3,Pale Yellow-Green Gas,17,3,0.003214,0.479,6.406,20.41,79,99,175,3.16,"-1,1,3,5,7",1251.2,0.0089,348.575,1774,W. Scheele,35.45,18,17,17
